Ticker,Público Alvo,Tipo de Fii,Administrador,Último Rend. (R$),Último Rend. (%),Data Pagamento,Data Base,Rend. Méd. 12m (R$),Rend. Méd. 12m (%),Patrimônio/Cota,Cotação/VP,N° negócios/mês,Partic. IFIX,Número Cotistas,Patrimônio,Cota base
SEQR11,Investidores em Geral,Fundo Misto:Misto,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,"0,72","1,18",15/01/2024,08/01/2024,"0,71","1,16","90,11","0,64",3,N/A,5.595,"151.618.163,99","60,60"
SFND11,Investidores em Geral,Tijolo:Lajes Corporativas,RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,"0,10",N/A,15/01/2024,28/12/2023,"0,01",N/A,"8,20","29,35",N/A,N/A,54,"2.782.115,08",N/A
SHDP11B,Investidores em Geral,Tijolo:Shoppings,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"5,11",N/A,19/01/2024,11/01/2024,"7,59",N/A,"1.293,28",N/A,N/A,N/A,3,"2.125.575.953,01",N/A
SHOP11,Investidores em Geral,Tijolo:Shoppings,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"6,75",N/A,30/03/2022,23/03/2022,"0,56",N/A,"48,22","1,24",10,N/A,53,"71.058.750,70",N/A
SHPH11,Investidores em Geral,Tijolo:Shoppings,RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,"5,10","0,60",15/01/2024,28/12/2023,"4,35","0,51","892,16","0,95",262,N/A,2.434,"563.132.086,63","850,00"
SHSO11,Investidor Profissional,Fundo Misto:Indefinido,HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,"0,42",N/A,15/01/2024,28/12/2023,"0,83",N/A,"97,08",N/A,N/A,N/A,1,"19.769.049,00",N/A
SIGR11,Investidor Profissional,Fundo Misto:Indefinido,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"0,15","0,16",23/01/2024,16/01/2024,"1,16","1,22","102,07","0,93",35,N/A,66,"39.745.199,02","95,11"
SJAU11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SLDZ11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SNAG11,Investidores em Geral,Fiagro:Fiagro,SINGULARE CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,"0,11","1,04",25/01/2024,15/01/2024,"0,11","1,12","10,09","1,00",59,N/A,78.093,"502.859.127,56","10,12"
SNCI11,Investidores em Geral,Fundo Misto:Indefinido,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"1,00","1,00",25/01/2024,15/01/2024,"1,03","1,03","99,50","0,98",11,"0,33",43.231,"426.083.415,68","100,39"
SNEL11,Investidores em Geral,Outros:Fundo de Desenvolvimento,XP INVESTIMENTOS CCTVM S.A.,"1,55","1,23",25/01/2024,15/01/2024,"0,38","0,30","98,67","1,29",35,N/A,5.194,"48.858.354,25","126,47"
SNFF11,Investidores em Geral,Papel:Fundo de Fundos,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"0,65","0,73",25/01/2024,15/01/2024,"0,70","0,79","90,14","0,94",17,"0,19",29.716,"260.196.909,41","88,69"
SNLG11,Investidores em Geral,Tijolo:Imóveis Industriais e Logísticos,XP INVESTIMENTOS CCTVM S.A.,"0,35","0,99",25/07/2023,14/07/2023,"0,09","0,25","61,48","0,68",5,N/A,3.411,"65.477.185,63","35,35"
SNME11,Investidores em Geral,Fundos Imobiliários:Fundos Imobiliários,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"0,12","1,13",25/01/2024,15/01/2024,"0,02","0,19","9,68","1,09",487,N/A,146,"49.200.037,25","10,60"
SOLR11,Investidores em Geral,Tijolo:Imóveis Comerciais - Outros,PLURAL S.A. BANCO MÚLTIPLO,"4,77",N/A,10/04/2023,31/03/2023,"1,86",N/A,"915,67","1,19",N/A,N/A,52,"59.640.257,20",N/A
SPAF11,Investidor Qualificado,Tijolo:Shoppings,PLURAL S.A. BANCO MÚLTIPLO,"7,19",N/A,25/01/2024,18/01/2024,"5,14",N/A,"1.010,81",N/A,N/A,N/A,1,"11.391.867,20",N/A
SPDE11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPMO11,Investidor Profissional,Sem categoria:,BR-CAPITAL DTVM S.A.,"0,43",N/A,28/12/2022,21/12/2022,"0,04",N/A,N/A,"0,78",18,N/A,8,"277.286.683,78",N/A
SPTW11,Investidores em Geral,Tijolo:Lajes Corporativas,GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.,"0,65","1,52",08/01/2024,28/12/2023,"0,45","1,06","55,96","0,76",12,"0,07",25.719,"103.912.577,29","42,88"
SPVJ11,Investidor Qualificado e Profissional,Tijolo:Shoppings,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,"0,68",N/A,15/01/2024,28/12/2023,"0,67",N/A,"116,14",N/A,N/A,N/A,27,"733.022.162,49",N/A
SPXS11,Investidores em Geral,Fundo Misto:Indefinido,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"0,09","0,97",15/01/2024,08/01/2024,"0,10","1,11","9,68","0,97",120,"0,15",7.955,"194.910.395,05","9,39"
SRVD11,Investidor Qualificado e Profissional,Fundo Misto:Indefinido,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,"0,20","2,29",14/04/2022,07/04/2022,"0,04","0,40","0,74","583,00",21,N/A,106,"-834.096,27","8,75"
STRX11,Investidores em Geral,Fundo Misto:Fundo de Desenvolvimento,INTER DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS,"0,76","0,45",08/01/2024,28/12/2023,"0,75","0,45","164,04","1,14",9,N/A,89,"237.374.028,48","168,00"
TBOF11,Investidores em Geral,Tijolo:Lajes Corporativas,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"0,21",N/A,09/06/2022,02/06/2022,"0,09",N/A,"0,21","74,10",N/A,N/A,9.180,"2.097.587,74",N/A
TCIN11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TCPF11,Investidores em Geral,Fundo Misto:Indefinido,BR-CAPITAL DTVM S.A.,"1,52",N/A,16/11/2023,07/11/2023,"1,46",N/A,"117,84","0,01",N/A,N/A,52,"34.379.751,04",N/A
TELD11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TELF11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TELM11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TEPP11,Investidores em Geral,Tijolo:Lajes Corporativas,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,"0,90","0,98",15/01/2024,28/12/2023,"0,61","0,66","94,98","0,97",26,"0,31",21.472,"408.543.303,66","92,30"
TGAR11,Investidores em Geral,Fundo Misto:Fundo de Desenvolvimento,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,"1,32","1,08",15/01/2024,28/12/2023,"1,37","1,13","111,49","0,99",194,"1,86",140.200,"2.364.894.946,54","122,00"
THRA11,Investidores em Geral,Outros:Indefinido,HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,"0,13",N/A,13/08/2021,09/08/2021,"3,92",N/A,N/A,"14,52",81,N/A,2.084,"14.050.683,35",N/A
TJKB11,Investidores em Geral,Fundo Misto:Indefinido,BR-CAPITAL DTVM S.A.,"2,84",N/A,26/01/2024,17/01/2024,"2,51",N/A,"270,88","0,97",8,N/A,82,"205.051.412,28",N/A
TMPS11,Investidores em Geral,Fundo Misto:Papéis,INTRAG DTVM LTDA.,"1,11","1,17",11/01/2024,28/12/2023,"0,54","0,57","103,31","0,93",736,N/A,1.848,"102.808.938,20","95,14"
TORD11,Investidores em Geral,Fundo Misto:Misto,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,"0,05","0,90",14/02/2023,07/02/2023,"0,01","0,13","14,02","0,17",20,"0,06",92.380,"449.083.764,22","5,57"
TORM13,Investidor Qualificado,Fundo Misto:Fundo de Desenvolvimento,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,"10,56",N/A,15/10/2021,30/09/2021,"5,34",N/A,N/A,N/A,42,N/A,0,N/A,N/A
TOUR11,Investidores em Geral,Fundo Misto:Fundo de Desenvolvimento,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,"0,24","2,75",14/12/2021,30/11/2021,"10,96","124,59",N/A,N/A,22,N/A,0,N/A,"8,80"
TRBL11,Investidores em Geral,Sem categoria:,RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,"0,72","0,74",15/01/2024,28/12/2023,"0,78","0,80","95,22","1,00",24,"0,50",61.574,"626.900.706,27","97,70"
TRNT11,Investidores em Geral,Tijolo:Lajes Corporativas,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"0,22","0,18",19/01/2024,12/01/2024,"0,38","0,31","197,70","0,63",94,N/A,681,"776.089.297,63","121,01"
TRXB11,Investidores em Geral,Fundo Misto:Fundo de Desenvolvimento,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,"2,21",N/A,15/01/2024,28/12/2023,"1,12",N/A,"108,62","1,22",46,N/A,221,"360.509.003,67",N/A
TRXF11,Investidores em Geral,Tijolo:Imóveis Comerciais - Outros,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,"1,70","1,52",15/01/2024,28/12/2023,"0,95","0,85","103,83","1,03",120,"1,35",126.610,"1.654.260.300,76","111,75"
TSER11,Investidores em Geral,Tijolo:Lajes Corporativas,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,"0,94",N/A,15/01/2024,28/12/2023,"0,95",N/A,"102,59","0,98",2,N/A,28,"131.549.740,54",N/A
TSNC11,Investidores em Geral,Tijolo:Lajes Corporativas,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"0,63",N/A,23/02/2023,14/02/2023,"0,10",N/A,"88,14",N/A,1,N/A,66,"99.728.718,67",N/A
TSNM11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TVRI11,Investidor Profissional,Sem categoria:,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,"0,91","0,93",15/01/2024,28/12/2023,"0,90","0,92","99,05","1,06",20,"1,33",71.716,"1.578.791.878,45","97,84"
UBSR11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UMED11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
URPR11,Investidores em Geral,Papel:Papéis,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,"1,11","1,27",15/01/2024,28/12/2023,"1,23","1,40","102,66","0,87",68,"0,84",90.295,"1.212.537.669,48","87,60"
VCJR11,Investidores em Geral,Papel:Papéis,INTRAG DTVM LTDA.,"0,90","0,95",12/01/2024,28/12/2023,"0,92","0,97","97,01","0,98",79,"1,12",26.122,"1.435.144.945,67","94,31"
VCRA11,Investidores em Geral,Fiagro:Fiagro,INTRAG DTVM LTDA.,"1,10","1,15",12/01/2024,28/12/2023,"1,22","1,27","102,96","0,88",28,N/A,9.171,"474.926.202,97","95,89"
VCRI11,Investidores em Geral,Papel:Papéis,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,"0,09","1,01",12/01/2024,28/12/2023,"0,10","1,16","9,63","0,89",20,"0,12",12.030,"172.130.738,18","8,40"
VCRR11,Investidores em Geral,Tijolo:Imóveis Residenciais,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,"0,75","1,11",15/01/2024,28/12/2023,"0,70","1,03","128,14","0,54",12,N/A,4.262,"261.923.164,67","67,57"
VCTH11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VDSV11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VERE11,Investidores em Geral,Tijolo:Imóveis Industriais e Logísticos,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,"3,50",N/A,27/12/2023,26/12/2023,"2,53",N/A,"364,84","0,52",N/A,N/A,53,"277.214.250,97",N/A
VGHF11,Investidores em Geral,Fundo Misto:Misto,BANCO DAYCOVAL S.A.,"0,10","1,05",08/01/2024,28/12/2023,"0,11","1,13","9,25","1,04",291,"0,73",342.991,"1.540.362.286,24","9,56"
VGIA11,Investidores em Geral,Fiagro:Fiagro,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"0,12","1,37",18/01/2024,11/01/2024,"0,13","1,41","9,63","0,94",291,N/A,163.632,"825.025.000,36","9,05"
VGII11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VGIP11,Investidores em Geral,Papel:Papéis,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"0,76","0,85",18/01/2024,11/01/2024,"0,88","0,99","93,17","0,97",75,"0,85",89.389,"1.103.957.275,30","89,00"
VGIR11,Investidores em Geral,Papel:Papéis,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"0,11","1,11",18/01/2024,11/01/2024,"0,12","1,22","9,76","1,00",382,"0,79",232.865,"995.264.979,41","9,89"
VIDS11,Investidores em Geral,Fundo Misto:Fundo de Desenvolvimento,PLURAL S.A. BANCO MÚLTIPLO,"30,17",N/A,15/01/2024,28/12/2023,"2,51",N/A,"899,95",N/A,N/A,N/A,199,"78.162.980,01",N/A
VIFI11,Investidores em Geral,Papel:Fundo de Fundos,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,"0,07","0,84",12/01/2024,28/12/2023,"0,07","0,82","9,14","0,88",9,"0,05",6.380,"75.546.620,72","8,30"
VILG11,Investidores em Geral,Tijolo:Imóveis Industriais e Logísticos,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,"0,64","0,64",12/01/2024,28/12/2023,"0,67","0,67","111,25","0,81",102,"1,10",162.062,"1.711.089.166,83","99,27"
VINO11,Investidores em Geral,Tijolo:Lajes Corporativas,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,"0,06","0,76",12/01/2024,28/12/2023,"0,06","0,80","10,85","0,75",96,"0,53",147.056,"897.853.061,93","7,64"
VISC11,Investidores em Geral,Tijolo:Shoppings,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,"1,00","0,81",12/01/2024,28/12/2023,"0,89","0,71","115,07","0,91",178,"2,62",275.919,"2.840.393.253,01","123,83"
VIUR11,Investidores em Geral,Fundo Misto:Misto,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,"0,07","0,90",12/01/2024,28/12/2023,"0,07","0,90","9,04","0,87",47,"0,17",49.606,"241.376.040,40","8,00"
VJFD11,Investidores em Geral,Fundo Misto:Indefinido,SOCOPA SOCIEDADE CORRETORA PAULISTA SA,"0,75",N/A,15/01/2024,28/12/2023,"0,84",N/A,"136,27",N/A,N/A,N/A,97,"664.512.886,86",N/A
VLIQ11,Investidores em Geral,Fundo Misto:Indefinido,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,"5,04",N/A,29/12/2022,22/12/2022,"7,56",N/A,"5,09",N/A,N/A,N/A,1,"1.684.672,21",N/A
VLJS11,Investidor Qualificado,Tijolo:Lajes Corporativas,PLANNER CORRETORA DE VALORES SA,"28,05",N/A,26/04/2023,19/04/2023,"2,34",N/A,"1.037,72","1,22",N/A,N/A,9,"24.447.272,32",N/A
VLOL11,Investidores em Geral,Tijolo:Lajes Corporativas,OLIVEIRA TRUST DTVM S.A.,"16,30",N/A,31/05/2023,24/05/2023,"1,67",N/A,"111,06","0,88",3,N/A,3.127,"198.219.080,15",N/A
VOTS11,Investidores em Geral,Papel:Papéis,VOTORANTIM ASSET MANAGEMENT DTVM LTDA.,"0,95",N/A,15/01/2024,29/12/2023,"0,95",N/A,"93,75","0,88",242,N/A,691,"78.013.384,44",N/A
VPSI11,Investidores em Geral,Tijolo:Shoppings,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,"0,23",N/A,08/01/2024,28/12/2023,"0,18",N/A,"21,42",N/A,N/A,N/A,53,"253.654.548,31",N/A
VRTA11,Investidores em Geral,Papel:Papéis,BANCO FATOR S/A,"0,75","0,84",15/01/2024,28/12/2023,"0,83","0,93","93,19","0,93",60,"1,08",123.262,"1.467.190.277,61","89,00"
VRTM11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VSEC11,Investidor Qualificado,Papel:Papéis,VOTORANTIM ASSET MANAGEMENT DTVM LTDA.,"2,05",N/A,25/10/2023,10/10/2023,"8,00",N/A,"2,91","0,07",1,N/A,64,"182.284,39",N/A
VSHO11,Investidores em Geral,Tijolo:Shoppings,VOTORANTIM ASSET MANAGEMENT DTVM LTDA.,"0,70","0,83",09/01/2024,28/12/2023,"0,71","0,84","101,23","0,82",2,N/A,3.835,"212.095.101,51","84,75"
VSLH11,Investidores em Geral,Papel:Papéis,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,"0,04","0,94",15/01/2024,08/01/2024,"0,04","0,98","10,54","0,38",41,"0,10",87.757,"320.294.174,01","4,25"
VTLT11,Investidores em Geral,Tijolo:Imóveis Industriais e Logísticos,VOTORANTIM ASSET MANAGEMENT DTVM LTDA.,"0,89","0,90",09/01/2024,28/12/2023,"0,88","0,89","101,16","0,86",3,"0,17",6.052,"237.986.610,72","99,00"
VTPA11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VTPL11,Investidor Qualificado,Papel:Papéis,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"5,11",N/A,16/12/2019,09/12/2019,"0,48",N/A,"76,26",N/A,N/A,N/A,1,"100.251.377,59",N/A
VTVI11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VTXI11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VVCO11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VVCR11,Investidores em Geral,Sem categoria:,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"0,31","1,48",24/01/2024,17/01/2024,"0,48","2,32","21,91","0,95",750,N/A,2.767,"40.569.409,52","20,89"
VVPR11,Investidores em Geral,Tijolo:Lajes Corporativas,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"0,89","0,89",30/09/2022,23/09/2022,"0,60","0,60","98,03","1,04",816,N/A,1.372,"226.032.234,18","99,90"
VVRI11,Investidores em Geral,Fundo Misto:Indefinido,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"1,63","1,67",24/01/2024,17/01/2024,"1,14","1,17","109,70","0,89",160,N/A,133,"43.880.528,19","97,50"
VXXV11,Investidor Qualificado,Fundo Misto:Fundo de Desenvolvimento,PLANNER TRUSTEE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,"10,76",N/A,13/11/2020,30/10/2020,"1,54",N/A,"876,17","0,89",8,N/A,20,"307.599.106,69",N/A
WHGR11,Investidores em Geral,Fundo Misto:Indefinido,XP INVESTIMENTOS CCTVM S.A.,"0,10","1,02",15/01/2024,28/12/2023,"0,10","1,04","9,97","1,00",75,"0,20",13.002,"250.010.357,04","9,80"
WPLZ11,Investidores em Geral,Tijolo:Shoppings,HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,"0,41","0,63",15/01/2024,28/12/2023,"0,43","0,67","87,03","0,76",198,N/A,1.874,"94.775.659,80","65,00"
WSEC11,Investidor Profissional,Sem categoria:,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,"1,00","1,19",15/01/2024,08/01/2024,"1,03","1,23","101,02","0,84",446,N/A,476,"24.781.361,10","84,15"
WTSP11B,Investidor Qualificado,Fundo Misto:Misto,BANCO OURINVEST S.A.,"1,15",N/A,22/01/2024,15/01/2024,"0,32",N/A,"72,72","0,45",253,N/A,215,"79.374.720,64",N/A
WVSC11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
XBXO11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
XPCA11,Investidores em Geral,Fiagro:Fiagro,XP INVESTIMENTOS CCTVM S.A.,"0,12","1,29",15/01/2024,28/12/2023,"0,12","1,32","9,50","1,00",206,N/A,94.546,"432.330.451,69","9,29"
XPCI11,Investidores em Geral,Papel:Papéis,XP INVESTIMENTOS CCTVM S.A.,"0,76","0,87",15/01/2024,28/12/2023,"0,92","1,05","93,32","0,95",89,"0,61",77.104,"814.257.093,26","86,91"
XPCM11,Investidores em Geral,Tijolo:Lajes Corporativas,RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,"0,02","0,20",15/01/2024,28/12/2023,"0,08","0,78","40,88","0,34",4,N/A,23.732,"70.753.126,38","10,24"
XPHT11,Investidores em Geral,Tijolo:Hotéis,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"0,43","0,95",15/01/2024,04/01/2024,"11,50","25,56","42,97","0,72",555,N/A,787,"579.134.800,00","45,00"
XPIN11,Investidores em Geral,Tijolo:Imóveis Industriais e Logísticos,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,"0,61","0,75",25/01/2024,18/01/2024,"0,65","0,80","102,67","0,80",30,"0,47",49.070,"734.131.689,03","80,81"
XPLG11,Investidores em Geral,Tijolo:Imóveis Industriais e Logísticos,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,"0,78","0,72",15/01/2024,28/12/2023,"0,77","0,70","110,14","1,00",193,"2,58",320.579,"3.267.595.223,68","108,90"
XPML11,Investidores em Geral,Tijolo:Shoppings,XP INVESTIMENTOS CCTVM S.A.,"0,92","0,79",25/01/2024,18/01/2024,"0,83","0,72","111,91","1,03",366,"3,45",409.164,"3.445.982.046,45","115,99"
XPPR11,Investidores em Geral,Fundo Misto:Indefinido,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,"0,10","0,44",15/01/2024,28/12/2023,"0,12","0,51","69,48","0,32",23,"0,12",55.733,"487.524.762,72","22,78"
XPSF11,Investidores em Geral,Papel:Fundo de Fundos,XP INVESTIMENTOS CCTVM S.A.,"0,08","0,90",15/01/2024,28/12/2023,"0,08","0,91","8,47","0,99",78,"0,29",62.335,"375.011.611,85","8,32"
XTED11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
YCHY11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
YEES11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
YUFI11,Investidor Profissional,Fundo Misto:Fundo de Desenvolvimento,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,"0,39",N/A,16/10/2023,29/09/2029,"0,26",N/A,"101,66","0,78",2,N/A,60,"50.383.877,76",N/A
ZAVC11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ZAVI11,Investidores em Geral,Fundo Misto:Indefinido,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,"1,24","0,99",12/01/2024,28/12/2023,"1,13","0,90","134,97","0,99",9,N/A,5.007,"156.959.628,57","125,00"
ZIFI11,Investidores em Geral,Fundo Misto:Fundo de Desenvolvimento,PLANNER TRUSTEE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,"3,31",N/A,14/07/2022,30/06/2022,"0,68",N/A,"1.200,00","0,69",270,N/A,69,"57.007.064,45",N/A
