Ticker,Público Alvo,Tipo de Fii,Administrador,Último Rend. (R$),Último Rend. (%),Data Pagamento,Data Base,Rend. Méd. 12m (R$),Rend. Méd. 12m (%),Patrimônio/Cota,Cotação/VP,N° negócios/mês,Partic. IFIX,Número Cotistas,Patrimônio,Cota base
LSAG11,Investidores em Geral,Fiagro:Fiagro,BANCO GENIAL S.A.,"1,80","1,84",15/01/2024,28/12/2023,"1,47","1,50","97,63","1,02",1,N/A,1.771,"98.836.063,68","98,00"
LSOI11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LSPA11,Investidor Profissional,Papel:Papéis,PLURAL S.A. BANCO MÚLTIPLO,"4,43",N/A,15/01/2024,28/12/2023,"1,15",N/A,"115,47","0,94",5,N/A,224,"46.265.530,51",N/A
LTMT11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LUGG11,Investidores em Geral,Fundo Misto:Fundo de Desenvolvimento,INTER DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS,"0,50","0,60",15/01/2024,28/12/2023,"0,57","0,68","123,54","0,66",2,N/A,6.564,"139.711.181,55","83,00"
LVBI11,Investidores em Geral,Tijolo:Imóveis Industriais e Logísticos,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"0,90","0,76",08/01/2024,28/12/2023,"0,80","0,68","117,26","1,03",159,"1,34",97.478,"1.644.298.546,39","117,87"
MALL11,Investidores em Geral,Tijolo:Shoppings,PLURAL S.A. BANCO MÚLTIPLO,"0,80","0,67",15/01/2024,28/12/2023,"0,80","0,68","119,22","0,98",49,"0,86",132.172,"1.104.137.381,27","118,80"
MANA11,Investidores em Geral,Fundo Misto:Indefinido,BANCO DAYCOVAL S.A.,"0,11","1,16",22/01/2024,28/12/2023,"0,11","1,15","9,69","0,97",8,N/A,5.183,"208.942.757,51","9,49"
MATV11,Investidores em Geral,Fundo Misto:Indefinido,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"0,60","0,73",22/03/2023,15/03/2023,"0,22","0,26","90,92","0,92",75,N/A,325,"39.926.993,67","82,50"
MAVC11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAXR11,Investidores em Geral,Tijolo:Varejo,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"0,78","0,99",15/01/2024,08/01/2024,"0,69","0,87","124,64","0,60",2,N/A,4.482,"144.207.895,72","78,86"
MBRF11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MCCI11,Investidores em Geral,Papel:Papéis,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"0,90","0,94",18/01/2024,11/01/2024,"0,93","0,97","95,65","0,99",121,"1,27",116.108,"1.619.348.816,44","95,40"
MCEM11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MCHF11,Investidores em Geral,Papel:Fundo de Fundos,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"0,07","0,74",18/01/2024,11/01/2024,"0,09","0,98","9,60","0,94",163,"0,23",84.361,"308.960.498,52","9,40"
MCHY11,Investidor Qualificado,Papel:Papéis,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"0,13","1,07",23/01/2024,16/01/2024,"0,14","1,11","98,54","0,12",466,N/A,1.118,"355.209.675,53","12,20"
MFAI11,Investidores em Geral,Papel:Fundo de Fundos,MERITO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,"0,55","0,89",15/01/2024,28/12/2023,"0,49","0,80","69,73","0,88",489,N/A,2.816,"28.212.610,30","61,98"
MFCR11,Investidores em Geral,Fundo Misto:Indefinido,MERITO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,"75,40","72,51",30/01/2024,24/01/2024,"7,42","7,13","103,08","0,28",138,N/A,183,"10.434.319,92","103,99"
MFII11,Investidores em Geral,Fundo Misto:Fundo de Desenvolvimento,MERITO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,"1,08","1,14",15/01/2024,28/12/2023,"1,09","1,15","113,56","0,89",10,"0,36",30.433,"501.857.043,22","94,36"
MGCR11,Investidores em Geral,Papel:Papéis,BANCO DAYCOVAL S.A.,"0,33",N/A,08/09/2023,31/08/2023,"0,09",N/A,"9,78","0,96",939,N/A,4.360,"131.240.792,97",N/A
MGFF11,Investidores em Geral,Papel:Fundo de Fundos,BANCO DAYCOVAL S.A.,"0,52","0,75",18/12/2023,07/12/2023,"0,52","0,75","72,86","0,95",48,"0,52",45.134,"665.588.549,57","69,60"
MGHT11,Investidores em Geral,Tijolo:Hotéis,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"0,57","1,18",18/01/2024,11/01/2024,"0,68","1,40","86,16","0,55",8,N/A,4.784,"112.482.906,27","48,48"
MGIM11,Investidores em Geral,Tijolo:Fundo de Desenvolvimento,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"0,18",N/A,28/03/2022,21/03/2022,"9,37",N/A,N/A,"1,03",N/A,N/A,75,"24.337.124,08",N/A
MGLC11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MGLG11,Investidores em Geral,Tijolo:Imóveis Industriais e Logísticos,XP INVESTIMENTOS CCTVM S.A.,"0,35","0,86",24/02/2023,15/02/2023,"0,44","1,09","61,48","0,56",2,N/A,3.712,"116.088.485,68","40,49"
MGRI11,Investidores em Geral,Fundo Misto:Indefinido,SOCOPA SOCIEDADE CORRETORA PAULISTA SA,"1,00",N/A,15/01/2024,08/01/2024,"1,52",N/A,"106,19",N/A,N/A,N/A,1,"24.259.177,29",N/A
MINT11,Investidores em Geral,Tijolo:Educacional,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"1,30","1,30",08/01/2024,28/12/2023,"0,11","0,11","133,89","0,82",80,N/A,79,"67.625.256,47","99,87"
MMPD11,Investidor Profissional,Fundo Misto:Indefinido,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"1,07",N/A,25/01/2024,18/01/2024,"0,82",N/A,"111,74",N/A,8,N/A,55,"59.222.767,21",N/A
MMVE11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MOFF11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MORC11,Investidores em Geral,Papel:Papéis,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,"0,92","1,03",26/01/2024,18/01/2024,"1,07","1,21","100,29","0,90",17,"0,14",2.960,"191.339.013,53","88,99"
MORE11,Investidores em Geral,Papel:Fundo de Fundos,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,"0,70","0,91",22/11/2023,14/11/2023,"0,56","0,73","87,38","0,90",29,"0,14",3.358,"198.257.973,78","77,07"
MTOF11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MTRS11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MVFI11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
